Host	Port
baker-102-ceiling-microphones.openav.dartmouth.edu	2202
baker-213-ceiling-microphones.openav.dartmouth.edu	2202
baker-219-ceiling-microphones-2.openav.dartmouth.edu	2202
baker-227-ceiling-microphones.openav.dartmouth.edu	2202
baker-234-ceiling-microphones.openav.dartmouth.edu	2202
bartlett-105-ceiling-microphones.openav.dartmouth.edu	2202
bartlett-105a-ceiling-microphones.openav.dartmouth.edu	2202
berry-180-ceiling-mic-1.openav.dartmouth.edu	2202
berry-180-ceiling-mic-2.openav.dartmouth.edu	2202
carson-060-ceiling-microphones-1.openav.dartmouth.edu	2202
carson-060-ceiling-microphones-2.openav.dartmouth.edu	2202
carson-061-1-ceiling-microphones-1.openav.dartmouth.edu	2202
carson-061-1-ceiling-microphones-2.openav.dartmouth.edu	2202
carson-l01-ceiling-microphones-1.openav.dartmouth.edu	2202
carson-l01-ceiling-microphones-2.openav.dartmouth.edu	2202
carson-l02-ceiling-microphones-1.openav.dartmouth.edu	2202
carson-l02-ceiling-microphones-2.openav.dartmouth.edu	2202
dewey-101-ceiling-microphones.openav.dartmouth.edu	2202
fairchild-101-ceiling-microphones-1.openav.dartmouth.edu	2202
fairchild-101-ceiling-microphones-2.openav.dartmouth.edu	2202
haldeman-028-ceiling-microphones.openav.dartmouth.edu	2202
haldeman-046-ceiling-microphones.openav.dartmouth.edu	2202
hopkins-051-ceiling-microphones.openav.dartmouth.edu	2202
hopkins-052-ceiling-microphones.openav.dartmouth.edu	2202
hopkins-054-microphone-1.openav.dartmouth.edu	2202
hopkins-054-microphone-2.openav.dartmouth.edu	2202
hopkins-054-microphone-3.openav.dartmouth.edu	2202
hopkins-054-microphone-4.openav.dartmouth.edu	2202
hopkins-054-microphone-5.openav.dartmouth.edu	2202
hopkins-054-microphone-6.openav.dartmouth.edu	2202
hopkins-138-ceiling-microphones.openav.dartmouth.edu	2202
kemeny-004-ceiling-microphones.openav.dartmouth.edu	2202
kemeny-006-ceiling-microphones.openav.dartmouth.edu	2202
kemeny-007-ceiling-microphones.openav.dartmouth.edu	2202
kemeny-008-ceiling-microphones-1.openav.dartmouth.edu	2202
kemeny-008-ceiling-microphones-2.openav.dartmouth.edu	2202
kemeny-008-ceiling-microphones-3.openav.dartmouth.edu	2202
kemeny-008-ceiling-microphones-4.openav.dartmouth.edu	2202
kemeny-105-ceiling-microphones.openav.dartmouth.edu	2202
kemeny-108-ceiling-microphones.openav.dartmouth.edu	2202
lsc-100-ceiling-microphones-1.openav.dartmouth.edu	2202
lsc-100-ceiling-microphones-2.openav.dartmouth.edu	2202
lsc-100-ceiling-microphones-3.openav.dartmouth.edu	2202
lsc-100-ceiling-microphones-4.openav.dartmouth.edu	2202
lsc-100-ceiling-microphones-5.openav.dartmouth.edu	2202
lsc-100-ceiling-microphones-6.openav.dartmouth.edu	2202
lsc-100-ceiling-microphones-7.openav.dartmouth.edu	2202
lsc-100-ceiling-microphones-8.openav.dartmouth.edu	2202
lsc-105-1-ceiling-microphones.openav.dartmouth.edu	2202
lsc-135-ceiling-microphones.openav.dartmouth.edu	2202
lsc-200-1-ceiling-microphones-1.openav.dartmouth.edu	2202
lsc-200-1-ceiling-microphones-2.openav.dartmouth.edu	2202
lsc-200-1-ceiling-microphones-3.openav.dartmouth.edu	2202
lsc-200-1-ceiling-microphones-4.openav.dartmouth.edu	2202
lsc-201-ceiling-microphones-1.openav.dartmouth.edu	2202
lsc-201-ceiling-microphones-2.openav.dartmouth.edu	2202
lsc-201-ceiling-microphones-3.openav.dartmouth.edu	2202
lsc-201-ceiling-microphones-4.openav.dartmouth.edu	2202
lsc-205-1-ceiling-microphones.openav.dartmouth.edu	2202
moore-110-ceiling-microphones.openav.dartmouth.edu	2202
moore-150-ceiling-microphones.openav.dartmouth.edu	2202
moore-202-ceiling-microphones.openav.dartmouth.edu	2202
rockefeller-001-ceiling-microphones.openav.dartmouth.edu	2202
rockefeller-002-ceiling-microphones.openav.dartmouth.edu	2202
rockefeller-003-ceiling-microphones-1.openav.dartmouth.edu	2202
rockefeller-003-ceiling-microphones-2.openav.dartmouth.edu	2202
rockefeller-208-ceiling-microphones.openav.dartmouth.edu	2202
rockefeller-209-ceiling-microphones.openav.dartmouth.edu	2202
silsby-113-ceiling-microphones.openav.dartmouth.edu	2202
silsby-119-ceiling-microphones.openav.dartmouth.edu	2202
silsby-213-ceiling-microphones.openav.dartmouth.edu	2202
silsby-215-ceiling-microphones.openav.dartmouth.edu	2202
silsby-312-ceiling-microphones.openav.dartmouth.edu	2202
steele-007-ceiling-microphones.openav.dartmouth.edu	2202
wilder-111-ceiling-microphones-1.openav.dartmouth.edu	2202
wilder-111-ceiling-microphones-2.openav.dartmouth.edu	2202
wilder-111-ceiling-microphones-3.openav.dartmouth.edu	2202
wilder-111-ceiling-microphones-4.openav.dartmouth.edu	2202
wilson-205-ceiling-microphones.openav.dartmouth.edu	2202
wilson-219-ceiling-microphones.openav.dartmouth.edu	2202
