host	community	port
baker-102-ups.openav.dartmouth.edu	public	161
baker-213-ups.openav.dartmouth.edu	public	161
baker-219-ups.openav.dartmouth.edu	public	161
baker-227-ups.openav.dartmouth.edu	public	161
baker-234-ups.openav.dartmouth.edu	public	161
bartlett-105a-ups.openav.dartmouth.edu	public	161
bartlett-105-ups.openav.dartmouth.edu	public	161
berry-180-ups.openav.dartmouth.edu	public	161
berry-180-ups.openav.dartmouth.edu	public	161
carson-060-ups.openav.dartmouth.edu	public	161
carson-061-1-ups-1.openav.dartmouth.edu	public	161
carson-061-1-ups-2.openav.dartmouth.edu	public	161
carson-l01-ups.openav.dartmouth.edu	public	161
carson-l02-ups.openav.dartmouth.edu	public	161
dewey-101-ups.openav.dartmouth.edu	public	161
e001a-ups.thayer.dartmouth.edu.openav.dartmouth.edu	public	161
fairchild-101-ups.openav.dartmouth.edu	public	161
floren-332-ups.openav.dartmouth.edu	public	161
haldeman-028-ups.openav.dartmouth.edu	public	161
haldeman-046-ups.openav.dartmouth.edu	public	161
hopkins-054-ups.openav.dartmouth.edu	public	161
kemeny-004-ups.openav.dartmouth.edu	public	161
kemeny-006-ups.openav.dartmouth.edu	public	161
kemeny-007-ups.openav.dartmouth.edu	public	161
kemeny-008-ups.openav.dartmouth.edu	public	161
kemeny-105-ups.openav.dartmouth.edu	public	161
kemeny-108-ups.openav.dartmouth.edu	public	161
lsc-100-ups-1.openav.dartmouth.edu	public	161
lsc-100-ups-2.openav.dartmouth.edu	public	161
lsc-104-ups.openav.dartmouth.edu	public	161
lsc-105-1-ups-1.openav.dartmouth.edu	public	161
lsc-105-1-ups-2.openav.dartmouth.edu	public	161
lsc-135-ups.openav.dartmouth.edu	public	161
lsc-200-1-ups-1.openav.dartmouth.edu	public	161
lsc-200-1-ups-2.openav.dartmouth.edu	public	161
lsc-201-ups-1.openav.dartmouth.edu	public	161
lsc-201-ups-2.openav.dartmouth.edu	public	161
lsc-205-1-ups-1.openav.dartmouth.edu	public	161
lsc-205-1-ups-2.openav.dartmouth.edu	public	161
moore-110-ups.openav.dartmouth.edu	public	161
moore-150-ups.openav.dartmouth.edu	public	161
moore-202-ups.openav.dartmouth.edu	public	161
rockefeller-001-ups.openav.dartmouth.edu	public	161
rockefeller-002-ups.openav.dartmouth.edu	public	161
rockefeller-003-ups.openav.dartmouth.edu	public	161
rockefeller-208-ups.openav.dartmouth.edu	public	161
rockefeller-209-ups.openav.dartmouth.edu	public	161
silsby-113-power-strip-2.openav.dartmouth.edu	public	161
silsby-119-ups.openav.dartmouth.edu	public	161
silsby-213-power-strip-2.openav.dartmouth.edu	public	161
silsby-215-power-strip-2.openav.dartmouth.edu	public	161
silsby-310-power-strip-3.openav.dartmouth.edu	public	161
silsby-312-power-strip-2.openav.dartmouth.edu	public	161
steele-007-ups.openav.dartmouth.edu	public	161
wilder-111-ups.openav.dartmouth.edu	public	161
wilder-115-battery-backup.openav.dartmouth.edu	public	161
wilson-205-ups.openav.dartmouth.edu	public	161
wilson-219-ups.openav.dartmouth.edu	public	161
